resume_title,jd_title,label
"Security Analyst, Intern, Teaching Assistant","Backend Developer, Intern",0.8506572952121496
"Teaching Assistant, Data Analyst, Research Assistant",Database Administrator,0.606162066211303
"Automation Engineer, Engineering Manager",Intern,0.2747582449391484
"Software Engineer, QA Tester, Mobile App Developer",Project Coordinator,0.6305200286209582
"Database Administrator, Project Coordinator","UI Developer, QA Tester, Security Analyst",0.5542178025469184
"Engineering Manager, QA Tester","Site Reliability Engineer, Full Stack Engineer, Research Assistant",0.3767380012876608
"UI Developer, Data Analyst, Cloud Architect","Research Assistant, Data Analyst",0.5835652055791938
"Project Coordinator, AI Engineer, QA Tester",Project Coordinator,0.25759625806606246
Full Stack Engineer,"Security Analyst, Research Assistant",0.20033891122788192
"Frontend Developer, Site Reliability Engineer","Project Coordinator, Mobile App Developer",0.47660353362779406
Site Reliability Engineer,Site Reliability Engineer,0.5390144418035117
"AI Engineer, Software Engineer, QA Tester","Product Manager, Mobile App Developer, Site Reliability Engineer",0.5567221333175187
"AI Engineer, Data Scientist","Frontend Developer, Security Analyst",0.21321600393270665
"QA Tester, Engineering Manager, Automation Engineer",Research Assistant,0.3268960126504923
"Teaching Assistant, Security Analyst","Database Administrator, Research Assistant",0.34161733620585155
"Data Analyst, Teaching Assistant, Technical Lead","Software Engineer, Intern",0.28709218512821405
"Machine Learning Engineer, Intern, Product Manager",Site Reliability Engineer,0.3612769239742694
"Site Reliability Engineer, AI Engineer, Technical Lead","Frontend Developer, UI Developer, Project Coordinator",0.1605089546844829
Full Stack Engineer,"Frontend Developer, Full Stack Engineer, Security Analyst",0.48897828655825415
Engineering Manager,QA Tester,0.561020306347705
"Site Reliability Engineer, Automation Engineer","Data Analyst, Cloud Architect, Backend Developer",0.15177327096361562
"Research Assistant, Security Analyst, Teaching Assistant",Research Assistant,0.1980423985490281
Machine Learning Engineer,"Cloud Architect, Security Analyst",0.4944771939506515
Product Manager,QA Tester,0.22809142929036177
"Project Coordinator, Frontend Developer",Site Reliability Engineer,0.30394325952068335
UX Designer,"Data Scientist, Frontend Developer",0.5919378066497545
"UX Designer, Data Analyst, Product Manager","Automation Engineer, Software Engineer",0.20160980525426564
Site Reliability Engineer,"Data Analyst, DevOps Engineer, AI Engineer",0.2181854616809222
Research Assistant,"Mobile App Developer, Automation Engineer",0.5736820005325843
"Full Stack Engineer, AI Engineer",Automation Engineer,0.4707117005096788
"Security Analyst, Site Reliability Engineer","Engineering Manager, UX Designer",0.4481572609797728
"Site Reliability Engineer, Engineering Manager, Software Engineer","Software Engineer, Engineering Manager, Site Reliability Engineer",0.2840327978843393
"Data Analyst, Product Manager","Machine Learning Engineer, DevOps Engineer, Cloud Architect",0.26577228876338765
"UI Developer, Research Assistant",UX Designer,0.217781691899124
"Data Analyst, DevOps Engineer","Project Coordinator, Mobile App Developer, Cloud Architect",0.23150306057816336
"AI Engineer, Data Analyst",Mobile App Developer,0.5383218141862502
Product Manager,Full Stack Engineer,0.4552557265239417
"Mobile App Developer, Data Analyst, AI Engineer","Frontend Developer, Security Analyst",0.35177986323537813
"Full Stack Engineer, Software Engineer","Software Engineer, Mobile App Developer, Frontend Developer",0.5224049215803318
"Teaching Assistant, Full Stack Engineer, Machine Learning Engineer","Data Scientist, Full Stack Engineer, Security Analyst",0.5398044049324117
"Frontend Developer, Automation Engineer, AI Engineer","Backend Developer, Frontend Developer",0.19271781460657503
"Cloud Architect, Frontend Developer",Mobile App Developer,0.5346128440498271
"Security Analyst, DevOps Engineer","Product Manager, Full Stack Engineer",0.6529736074578723
"Software Engineer, QA Tester",Data Analyst,0.34294905620565014
Data Scientist,"Database Administrator, DevOps Engineer",0.34086845492993134
Technical Lead,DevOps Engineer,0.34009536585008554
"Database Administrator, Product Manager, AI Engineer","UI Developer, Security Analyst, Machine Learning Engineer",0.1804311280301772
"Intern, AI Engineer, Research Assistant",DevOps Engineer,0.36046406254126334
Frontend Developer,"Data Analyst, UX Designer, Software Engineer",0.3678304140864894
QA Tester,Machine Learning Engineer,0.6453572019301804
Research Assistant,Security Analyst,0.6045169457842019
"Automation Engineer, Intern, UI Developer","Machine Learning Engineer, Cloud Architect, Full Stack Engineer",0.28279210100357216
Engineering Manager,"QA Tester, Software Engineer",0.3195604516671632
"Data Analyst, Database Administrator",Research Assistant,0.19936572432225005
"Frontend Developer, AI Engineer, Security Analyst",Product Manager,0.4769421771189405
Full Stack Engineer,Product Manager,0.22479215832406674
"Machine Learning Engineer, Software Engineer",Engineering Manager,0.59762599865582
Software Engineer,"DevOps Engineer, Product Manager",0.3303905441640045
Software Engineer,Site Reliability Engineer,0.6192708815463839
Security Analyst,"Research Assistant, Teaching Assistant, Machine Learning Engineer",0.3485919847476639
"Mobile App Developer, Site Reliability Engineer","Data Scientist, Teaching Assistant, Technical Lead",0.5751103987779046
"Security Analyst, Database Administrator","Data Scientist, QA Tester, DevOps Engineer",0.5902244424354284
Research Assistant,"Research Assistant, Product Manager",0.27616281547279337
"Product Manager, Engineering Manager","Machine Learning Engineer, Backend Developer, Software Engineer",0.4873136873525352
UX Designer,DevOps Engineer,0.3465712240604417
Engineering Manager,"DevOps Engineer, Product Manager",0.24792837248201352
Mobile App Developer,"UI Developer, Research Assistant, Data Analyst",0.24036364172768085
Cloud Architect,"Project Coordinator, UI Developer, Intern",0.5088382499344233
UI Developer,"Project Coordinator, AI Engineer, Data Scientist",0.48755488496410465
QA Tester,"Software Engineer, Security Analyst",0.45668882556090296
"Research Assistant, Mobile App Developer","Intern, Software Engineer",0.4562855254243394
Automation Engineer,QA Tester,0.3145276169475596
Software Engineer,"Cloud Architect, QA Tester, UX Designer",0.5135897216236774
"Data Scientist, Site Reliability Engineer",Machine Learning Engineer,0.25381105396896597
Engineering Manager,Data Analyst,0.22216252844748569
"Product Manager, Data Analyst, Full Stack Engineer",UI Developer,0.5504508428514386
"Database Administrator, QA Tester, Product Manager","Automation Engineer, Cloud Architect",0.4872990230837164
Cloud Architect,DevOps Engineer,0.5662400214979425
DevOps Engineer,"Site Reliability Engineer, Data Scientist",0.30603916107222806
"Automation Engineer, Intern","Frontend Developer, Full Stack Engineer",0.602895405174695
"UX Designer, Database Administrator, Project Coordinator",Machine Learning Engineer,0.4716945727226595
"Project Coordinator, Automation Engineer","Site Reliability Engineer, Frontend Developer, Technical Lead",0.5303715826380324
"Frontend Developer, Site Reliability Engineer","Engineering Manager, UX Designer, Backend Developer",0.14946164901296677
UX Designer,DevOps Engineer,0.43900281994937707
"Product Manager, Full Stack Engineer","Machine Learning Engineer, Automation Engineer",0.6295762783454213
"Teaching Assistant, Machine Learning Engineer","Mobile App Developer, Data Analyst",0.5680703898698644
"DevOps Engineer, Teaching Assistant","Machine Learning Engineer, Full Stack Engineer, Mobile App Developer",0.27484898240211
"Site Reliability Engineer, Backend Developer","UI Developer, Data Scientist",0.29411053812796506
Security Analyst,"Mobile App Developer, Software Engineer, Frontend Developer",0.4327430550761996
"UI Developer, Research Assistant, Mobile App Developer",Technical Lead,0.5617423586418826
Intern,"Machine Learning Engineer, QA Tester",0.3200197032091396
"Technical Lead, QA Tester","Software Engineer, Frontend Developer",0.16854533170831612
"Engineering Manager, Teaching Assistant, Site Reliability Engineer",Engineering Manager,0.4528018697157298
"Backend Developer, UX Designer","Mobile App Developer, Cloud Architect",0.32206527800475426
"Machine Learning Engineer, Security Analyst, Cloud Architect","Database Administrator, QA Tester",0.1801294009238481
"Mobile App Developer, Research Assistant, Automation Engineer",Project Coordinator,0.46016974704451125
Security Analyst,Mobile App Developer,0.4889271528391461
"AI Engineer, Full Stack Engineer",Site Reliability Engineer,0.21826584833704563
"Intern, DevOps Engineer","Site Reliability Engineer, AI Engineer",0.46851425502569444
"Automation Engineer, Site Reliability Engineer",Database Administrator,0.2671383511547286
"Database Administrator, AI Engineer","Mobile App Developer, Data Scientist",0.276248365888207
"Technical Lead, Data Analyst, Teaching Assistant",Data Analyst,0.26017133176561047
"Backend Developer, QA Tester, Intern","Backend Developer, Automation Engineer",0.6229495873209667
Site Reliability Engineer,"Database Administrator, Backend Developer",0.33156376592814923
"AI Engineer, DevOps Engineer, Product Manager","Automation Engineer, DevOps Engineer, QA Tester",0.19600932051625214
"Automation Engineer, Machine Learning Engineer, Technical Lead",Technical Lead,0.5797080595492867
"AI Engineer, Software Engineer, Backend Developer","Backend Developer, Software Engineer, AI Engineer",0.3405416442910154
"Technical Lead, Full Stack Engineer","Data Analyst, Engineering Manager, Product Manager",0.2091445258682117
"QA Tester, Full Stack Engineer, Backend Developer",Automation Engineer,0.16945266285448232
"Intern, Data Scientist","Security Analyst, AI Engineer",0.17932099463152032
"AI Engineer, Cloud Architect",Security Analyst,0.2589202778013846
"Full Stack Engineer, Automation Engineer, Data Scientist","AI Engineer, QA Tester, Machine Learning Engineer",0.620907145676791
"Mobile App Developer, Software Engineer",Product Manager,0.590472758523085
Intern,Intern,0.21378506339530745
Data Scientist,Frontend Developer,0.5825563277662373
Research Assistant,Software Engineer,0.5823434651628788
"Technical Lead, DevOps Engineer, Machine Learning Engineer","UI Developer, DevOps Engineer",0.4548527336714638
"Data Analyst, Software Engineer, Automation Engineer","Database Administrator, UX Designer",0.47488740234750315
"Machine Learning Engineer, Research Assistant, UI Developer","QA Tester, Backend Developer",0.564372648432575
"Mobile App Developer, DevOps Engineer, UX Designer","Product Manager, Backend Developer",0.2643443763550586
"Automation Engineer, AI Engineer, Security Analyst",Project Coordinator,0.3334306881745578
"Site Reliability Engineer, Intern, Security Analyst","Data Scientist, Software Engineer, Full Stack Engineer",0.2531286691119655
"Frontend Developer, Engineering Manager",Data Analyst,0.3221152824800157
DevOps Engineer,"UI Developer, Frontend Developer",0.601439071521352
Mobile App Developer,"QA Tester, UI Developer",0.6101820574317014
"Research Assistant, Security Analyst","Research Assistant, Security Analyst",0.6461802377514541
"UX Designer, Automation Engineer, Technical Lead",Data Analyst,0.5257928300430228
"Intern, Security Analyst, Full Stack Engineer",Teaching Assistant,0.26524632186804076
Site Reliability Engineer,"Data Analyst, Machine Learning Engineer",0.3343707948857046
Product Manager,Data Scientist,0.5233746884587932
