resume_exp,ResumeNumeral,jd_exp,JDNumeral,ExpectedMatch,label
Worked for 0.6+ yrs as a cloud engineer,0.6,Requirement: 3.2+ years in healthcare industry,3.2,False,0.0
15.2-years of service in finance sector,15.2,Experience of 4.0 years preferred,4.0,True,1.0
Internship for 5.9 years in product management,5.9,Minimum 15.9 years of relevant experience required,15.9,False,0.89
Spent 6.6 years as a backend developer,6.6,Need 1.6+ years of work experience in related field,1.6,True,1.0
Internship for 5.4 years in product management,5.4,Requirement: 4.2+ years in healthcare industry,4.2,True,1.0
Spent 13.5 years as a backend developer,13.5,At least 2.1-years in leadership roles,2.1,True,0.91
18.5 years experience in data analysis,18.5,Candidate must have 5.9 years minimum experience,5.9,True,0.78
Worked for 9.5+ yrs as a cloud engineer,9.5,Requirement: 3.4+ years in healthcare industry,3.4,True,0.76
7.4-years of service in finance sector,7.4,Minimum required: 10.8 years of professional experience,10.8,False,1.0
6.6-years of service in finance sector,6.6,Candidate must have 10.7 years minimum experience,10.7,False,0.77
Worked for 2.4+ yrs as a cloud engineer,2.4,Candidate must have 11.3 years minimum experience,11.3,False,0.86
Spent 12.3 years as a backend developer,12.3,Need 17.7+ years of work experience in related field,17.7,False,1.0
Internship for 2.9 years in product management,2.9,At least 7.4 yrs experience in IT industry,7.4,False,1.0
Contract work experience: 4.8 years,4.8,Minimum 17.9 years of relevant experience required,17.9,False,1.0
Worked for 4.6+ yrs as a cloud engineer,4.6,At least 1.6-years in leadership roles,1.6,True,1.0
9.5-years of service in finance sector,9.5,JD asks for 4.1+ yrs experience in cybersecurity,4.1,True,1.0
Contract work experience: 6.3 years,6.3,Minimum required: 15.6 years of professional experience,15.6,False,0.95
Worked for 2.5 years at a tech company,2.5,JD asks for 19.3+ yrs experience in cybersecurity,19.3,False,0.8200000000000001
6.2 years experience in data analysis,6.2,Minimum 5.3 years of relevant experience required,5.3,True,1.0
8.1 years experience in data analysis,8.1,7.2 years of mandatory project management experience,7.2,True,1.0
Experience of 7.3+ years in software engineering,7.3,2.8 years of mandatory project management experience,2.8,True,1.0
11.0 years experience in data analysis,11.0,Candidate must have 11.7 years minimum experience,11.7,False,1.0
Experience of 3.1+ years in software engineering,3.1,Minimum 10.5 years of relevant experience required,10.5,False,0.92
Internship for 1.3 years in product management,1.3,At least 1.8-years in leadership roles,1.8,False,1.0
19.7 years experience in data analysis,19.7,9.9 years of mandatory project management experience,9.9,True,1.0
Worked for 15.9+ yrs as a cloud engineer,15.9,2.6 years of mandatory project management experience,2.6,True,0.88
