Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Tesla, IBM, Google is seeking a Data Scientist, Product Manager, Software Engineer, DevOps Engineer proficient in TensorFlow, Machine Learning and experienced with VS Code, Salesforce, Slack, Jira. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have Entry level, Mid-Senior level, 7+ years, 3-5 years of industry experience. Position is based in Austin, TX, New York, NY, Chicago, IL. Strong Communication Skills, Teamwork and fluency in German, Spanish, French are required. Salary range: $120k–$150k, $80k–$100k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional.","TensorFlow, Machine Learning","Tesla, IBM, Google","VS Code, Salesforce, Slack, Jira","Master's in Information Systems, Bachelor's in Computer Science","Entry level, Mid-Senior level, 7+ years, 3-5 years","Data Scientist, Product Manager, Software Engineer, DevOps Engineer","Austin, TX, New York, NY, Chicago, IL","German, Spanish, French","Communication Skills, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional"
"IBM, Tesla, Amazon is seeking a DevOps Engineer, Data Scientist proficient in Kubernetes, SQL, Docker and experienced with Slack, Figma, GitHub, VS Code. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 2+ years, 7+ years of industry experience. Position is based in San Francisco, CA, Seattle, WA, Chicago, IL. Strong Leadership, Communication Skills, Adaptability and fluency in Spanish, English, German are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master.","Kubernetes, SQL, Docker","IBM, Tesla, Amazon","Slack, Figma, GitHub, VS Code","Bachelor's in Computer Science, Master's in Information Systems","2+ years, 7+ years","DevOps Engineer, Data Scientist","San Francisco, CA, Seattle, WA, Chicago, IL","Spanish, English, German","Leadership, Communication Skills, Adaptability","$90k–$120k, $80k–$100k","PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Apple, Netflix, Microsoft, Google is seeking a DevOps Engineer, Product Manager, Backend Developer proficient in TensorFlow, SQL and experienced with Jira, VS Code, Salesforce. The ideal candidate should possess Ph.D. in Data Science, Bachelor's in Computer Science and have 3-5 years, Mid-Senior level, 7+ years, Entry level of industry experience. Position is based in Seattle, WA, Chicago, IL, Boston, MA. Strong Adaptability, Leadership, Communication Skills and fluency in French, German, Spanish, English are required. Salary range: $120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification.","TensorFlow, SQL","Apple, Netflix, Microsoft, Google","Jira, VS Code, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science","3-5 years, Mid-Senior level, 7+ years, Entry level","DevOps Engineer, Product Manager, Backend Developer","Seattle, WA, Chicago, IL, Boston, MA","French, German, Spanish, English","Adaptability, Leadership, Communication Skills","$120k–$150k, $80k–$100k, $100k–$130k, $90k–$120k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification"
"Google, Microsoft, Apple is seeking a Product Manager, Software Engineer, Data Scientist proficient in SQL, Machine Learning, TensorFlow and experienced with Slack, VS Code. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science and have Mid-Senior level, 3-5 years, 7+ years of industry experience. Position is based in Chicago, IL, New York, NY, Seattle, WA, San Francisco, CA. Strong Problem-Solving, Teamwork, Adaptability and fluency in German, Spanish are required. Salary range: $90k–$120k, $100k–$130k. Preferred certifications include Certified Scrum Master, PMP Certification, Google Cloud Professional.","SQL, Machine Learning, TensorFlow","Google, Microsoft, Apple","Slack, VS Code","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","Mid-Senior level, 3-5 years, 7+ years","Product Manager, Software Engineer, Data Scientist","Chicago, IL, New York, NY, Seattle, WA, San Francisco, CA","German, Spanish","Problem-Solving, Teamwork, Adaptability","$90k–$120k, $100k–$130k","Certified Scrum Master, PMP Certification, Google Cloud Professional"
"Microsoft, Apple is seeking a Data Scientist, Backend Developer, Software Engineer proficient in AWS, Python and experienced with Slack, Salesforce, Figma, GitHub. The ideal candidate should possess Ph.D. in Data Science, Master's in Information Systems and have 5+ years, 3-5 years, 7+ years of industry experience. Position is based in Austin, TX, San Francisco, CA, Boston, MA. Strong Communication Skills, Teamwork, Problem-Solving, Leadership and fluency in English, Spanish, French are required. Salary range: $120k–$150k, $80k–$100k. Preferred certifications include Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect.","AWS, Python","Microsoft, Apple","Slack, Salesforce, Figma, GitHub","Ph.D. in Data Science, Master's in Information Systems","5+ years, 3-5 years, 7+ years","Data Scientist, Backend Developer, Software Engineer","Austin, TX, San Francisco, CA, Boston, MA","English, Spanish, French","Communication Skills, Teamwork, Problem-Solving, Leadership","$120k–$150k, $80k–$100k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect"
"Google, Netflix is seeking a DevOps Engineer, Backend Developer, Product Manager proficient in SQL, Kubernetes, Python, TensorFlow and experienced with Jira, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science and have 5+ years, Mid-Senior level, 2+ years, Entry level of industry experience. Position is based in Chicago, IL, San Francisco, CA, Seattle, WA, New York, NY. Strong Teamwork, Adaptability and fluency in Spanish, French, English are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master.","SQL, Kubernetes, Python, TensorFlow","Google, Netflix","Jira, Tableau","Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, Mid-Senior level, 2+ years, Entry level","DevOps Engineer, Backend Developer, Product Manager","Chicago, IL, San Francisco, CA, Seattle, WA, New York, NY","Spanish, French, English","Teamwork, Adaptability","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, PMP Certification, Google Cloud Professional, Certified Scrum Master"
"IBM, Facebook, Google, Apple is seeking a DevOps Engineer, Software Engineer, Data Scientist proficient in Python, Docker, Kubernetes and experienced with Tableau, Figma. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Mid-Senior level, 7+ years, 3-5 years, Entry level of industry experience. Position is based in Austin, TX, Boston, MA, Chicago, IL, New York, NY. Strong Leadership, Problem-Solving, Communication Skills, Adaptability and fluency in English, French, Spanish, German are required. Salary range: $100k–$130k, $120k–$150k. Preferred certifications include PMP Certification, Google Cloud Professional, Certified Scrum Master.","Python, Docker, Kubernetes","IBM, Facebook, Google, Apple","Tableau, Figma","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Mid-Senior level, 7+ years, 3-5 years, Entry level","DevOps Engineer, Software Engineer, Data Scientist","Austin, TX, Boston, MA, Chicago, IL, New York, NY","English, French, Spanish, German","Leadership, Problem-Solving, Communication Skills, Adaptability","$100k–$130k, $120k–$150k","PMP Certification, Google Cloud Professional, Certified Scrum Master"
"Microsoft, Netflix, Apple is seeking a DevOps Engineer, Data Scientist proficient in Machine Learning, Python, Docker, Kubernetes and experienced with Slack, Salesforce, Tableau, VS Code. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have 7+ years, 3-5 years, 5+ years, Mid-Senior level of industry experience. Position is based in Boston, MA, Chicago, IL, Austin, TX. Strong Adaptability, Communication Skills, Problem-Solving and fluency in French, German, English are required. Salary range: $80k–$100k, $120k–$150k, $100k–$130k, $90k–$120k. Preferred certifications include PMP Certification, Certified Scrum Master.","Machine Learning, Python, Docker, Kubernetes","Microsoft, Netflix, Apple","Slack, Salesforce, Tableau, VS Code","Master's in Information Systems, Bachelor's in Computer Science","7+ years, 3-5 years, 5+ years, Mid-Senior level","DevOps Engineer, Data Scientist","Boston, MA, Chicago, IL, Austin, TX","French, German, English","Adaptability, Communication Skills, Problem-Solving","$80k–$100k, $120k–$150k, $100k–$130k, $90k–$120k","PMP Certification, Certified Scrum Master"
"Netflix, Google, Microsoft is seeking a DevOps Engineer, Product Manager, Backend Developer, Data Scientist proficient in AWS, Java, Python, Machine Learning and experienced with Tableau, Salesforce, Figma, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, Mid-Senior level, 2+ years of industry experience. Position is based in Austin, TX, Seattle, WA, New York, NY. Strong Adaptability, Teamwork, Communication Skills, Leadership and fluency in German, Spanish are required. Salary range: $90k–$120k, $80k–$100k, $100k–$130k, $120k–$150k. Preferred certifications include PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","AWS, Java, Python, Machine Learning","Netflix, Google, Microsoft","Tableau, Salesforce, Figma, Jira","Master's in Information Systems, Ph.D. in Data Science","Entry level, Mid-Senior level, 2+ years","DevOps Engineer, Product Manager, Backend Developer, Data Scientist","Austin, TX, Seattle, WA, New York, NY","German, Spanish","Adaptability, Teamwork, Communication Skills, Leadership","$90k–$120k, $80k–$100k, $100k–$130k, $120k–$150k","PMP Certification, AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Google, Apple is seeking a Software Engineer, Product Manager, DevOps Engineer proficient in Docker, SQL, Python and experienced with Salesforce, Tableau, Slack, GitHub. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 2+ years, Entry level of industry experience. Position is based in Austin, TX, New York, NY, Boston, MA, Chicago, IL. Strong Problem-Solving, Leadership and fluency in French, English are required. Salary range: $120k–$150k, $100k–$130k. Preferred certifications include Google Cloud Professional, PMP Certification.","Docker, SQL, Python","Google, Apple","Salesforce, Tableau, Slack, GitHub","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","2+ years, Entry level","Software Engineer, Product Manager, DevOps Engineer","Austin, TX, New York, NY, Boston, MA, Chicago, IL","French, English","Problem-Solving, Leadership","$120k–$150k, $100k–$130k","Google Cloud Professional, PMP Certification"
