resume_skills,jd_skills,label
"Cloud Computing, Flask, MongoDB, Big Data","Data Engineering, Node.js, C++, Deep Learning, API Development, Java",0.000126466738680997
"AWS, Node.js, Flask, API Development","Keras, Machine Learning, React, Data Science, NoSQL",0.07697825835509735
"Big Data, Azure, CI/CD, Data Science, GraphQL","Azure, API Development, Python, Data Engineering, AWS, Hadoop",0.0769403096474707
"API Development, Spark, Cloud Computing","SQL, Kubernetes, React, API Development, Hadoop",0.5068287358468487
"Spark, Python, Node.js, API Development, Keras, Docker","Data Engineering, C++, Docker, Data Science, Kubernetes, REST APIs",0.1777139384796222
"Keras, Hadoop, React, NoSQL, Node.js, Data Engineering","SQL, MongoDB, API Development, Data Science, Django, Machine Learning",0.09184793937951327
"Hadoop, Flask, Big Data","Machine Learning, SQL, Spark, C++, GraphQL, Cloud Computing",0.3730094981532639
"Hadoop, MongoDB, SQL, API Development","AWS, C++, Data Engineering, Node.js, GraphQL",0.4005935765459964
"Big Data, Python, Cloud Computing, Spark, Data Science","Node.js, Data Engineering, Spark, TensorFlow, SQL",0.44150583508696095
"Flask, Microservices, Data Science, Hadoop","Deep Learning, Data Science, Python, Keras",0.48852452574190325
"Cloud Computing, REST APIs, Spark, Python","Node.js, PostgreSQL, Docker, CI/CD",0.053510216353793744
"NoSQL, Java, AWS, Azure, Python","Docker, Kubernetes, Big Data, Node.js, Data Engineering",0.12507861902876224
"Azure, NoSQL, Hadoop, PostgreSQL, REST APIs","Java, Keras, Big Data",0.38943522032524924
"REST APIs, Keras, Azure, TensorFlow, Hadoop","Microservices, Django, PostgreSQL, Spark",0.5002657386622227
"AWS, Spark, Flask, Cloud Computing","Node.js, Flask, GraphQL, Python, Hadoop",0.44530353273523765
"Java, CI/CD, Data Science, Django, React, C++","AWS, Machine Learning, MongoDB",0.4818277312194308
"Python, Spark, Django, NoSQL, C++","Node.js, Microservices, Data Science, Python, Java, Kubernetes",0.3651008998078329
"PostgreSQL, Hadoop, React","AWS, API Development, Hadoop, Kubernetes, Azure",0.46585546776998876
"AWS, Flask, Microservices, MongoDB, C++","Cloud Computing, SQL, TensorFlow",0.5033961750759502
"TensorFlow, PostgreSQL, Hadoop","Spark, Machine Learning, Azure, Flask, GraphQL, Cloud Computing",0.4670446800400919
"Deep Learning, Microservices, MongoDB, GraphQL","REST APIs, Cloud Computing, CI/CD, API Development, NoSQL",0.48478243749892835
"Deep Learning, Keras, Hadoop, C++, Java","NoSQL, Cloud Computing, Django, Python, Azure",0.09218858259721
